latitude,longitude,druh_objektu_text,price,floor_size,Podlažie,Počet nadzemných podlaží,Stav nehnuteľnosti,Vlastníctvo,Typ konštrukcie,Rok výstavby,Počet izieb / miestností,Cena vrátane energií,streetAddress,addressRegion,days_since_publication,update_publication_delta,Vybavenie_Verejné parkovanie,Vybavenie_Altánok / posedenie,Vybavenie_Vyhradené parkovanie,Vybavenie_Vonkajší krb,Vybavenie_Pivnica,Vybavenie_Technická miestnosť,Vybavenie_Šatníkové skrine,Vybavenie_Predzáhradka,Vybavenie_Balkón,Vybavenie_Garážové státie,Vybavenie_Vonkajšie parkovacie miesto,Vybavenie_Lodžia,Vybavenie_Sklad,Vybavenie_Výťah,Vybavenie_Špajza,Vybavenie_Tepelná izolácia,room_count,condition_score,is_new,is_renovated
48.561977,19.158433,3 izbový byt,135000.0,74.0,6.0,8.0,Čiastočná rekonštrukcia,Osobné,Panelová,1970.0,3.0,Nie,Zvolen,Banskobystrický kraj,65,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,2,0,1
48.5775452,19.1364536,3 izbový byt,218900.0,74.34,,,Novostavba,Osobné,,,3.0,Nie,Zvolen,Banskobystrický kraj,79,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,1,0
48.57435,19.1448364,2 izbový byt,168760.0,48.3,,,Novostavba,Osobné,,,2.0,Nie,Zvolen,Banskobystrický kraj,79,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,1,0
48.57825,19.1247139,1 izbový byt,136800.0,49.22,,,Novostavba,Osobné,,,1.0,Nie,Zvolen,Banskobystrický kraj,79,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0
48.57438,19.1450119,2 izbový byt,134800.0,49.03,,,Novostavba,Osobné,,,2.0,Nie,Zvolen,Banskobystrický kraj,79,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,1,0
48.5775261,19.1368313,3 izbový byt,179786.0,72.18,,,Novostavba,Osobné,,,3.0,Nie,Zvolen,Banskobystrický kraj,79,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,1,0
48.5743523,19.1451721,3 izbový byt,259890.0,94.0,,,Novostavba,Osobné,,,3.0,Nie,Zvolen,Banskobystrický kraj,79,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,1,0
48.5776062,19.1359463,3 izbový byt,243265.0,78.85,,,Novostavba,Osobné,,,3.0,Nie,Zvolen,Banskobystrický kraj,79,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,1,0
48.57428,19.145,3 izbový byt,219000.0,89.52,,,Novostavba,Osobné,,,3.0,Nie,Zvolen,Banskobystrický kraj,79,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,1,0
48.5775032,19.1369057,3 izbový byt,179786.0,72.18,,,Novostavba,Osobné,,,3.0,Nie,Zvolen,Banskobystrický kraj,79,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,1,0
48.57757,19.1369324,3 izbový byt,183986.0,78.71,,,Novostavba,Osobné,,,3.0,Nie,Zvolen,Banskobystrický kraj,79,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,1,0
48.8151755,19.4622119,3 izbový byt,117500.0,85.0,1.0,2.0,Čiastočná rekonštrukcia,Osobné,Tehlová,1900.0,3.0,Nie,Predajná,Banskobystrický kraj,65,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,2,0,1
48.8523683,19.632305,Apartmán,130000.0,60.0,,,Novostavba,Osobné,Zmiešaná,,,Nie,Mýto pod Ďumbierom,Banskobystrický kraj,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,1,0
48.7874563,19.6399794,3 izbový byt,97000.0,68.0,,,Kompletná rekonštrukcia,Osobné,Panelová,,3.0,Nie,Brezno,Banskobystrický kraj,65,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,1
48.7381551,19.1623591,2 izbový byt,169990.0,64.0,3.0,5.0,Kompletná rekonštrukcia,Osobné,Tehlová,1900.0,2.0,Nie,Banská Bystrica,Banskobystrický kraj,126,61,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,3,0,1
48.5437818,19.4020703,4 izbový byt,109999.0,81.0,6.0,7.0,Novostavba,Osobné,Zmiešaná,,4.0,Nie,Detva,Banskobystrický kraj,546,481,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,4,5,1,0
48.5437818,19.4020703,3 izbový byt,89999.0,67.0,4.0,7.0,Novostavba,Osobné,Zmiešaná,,3.0,Nie,Detva,Banskobystrický kraj,546,481,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,3,5,1,0
48.3386957,19.6445366,4 izbový byt,95000.0,72.0,4.0,8.0,Čiastočná rekonštrukcia,Osobné,,,4.0,Nie,Lučenec,Banskobystrický kraj,69,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,2,0,1
48.209301,19.355223,3 izbový byt,83000.0,72.0,7.0,8.0,Čiastočná rekonštrukcia,Osobné,Panelová,1992.0,,Nie,Veľký Krtíš,Banskobystrický kraj,317,252,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,2,0,1
48.5740437,19.143444,2 izbový byt,118000.0,63.66,4.0,1.0,Čiastočná rekonštrukcia,Osobné,,,,Nie,Zvolen,Banskobystrický kraj,369,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1
